Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"dev.multistack.app.config.CorsConfigTest.apiCorsChecksOrigin","admits a configured dev server origin and rejects an unknown one","passed","68ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.apiCorsAllowsSameHostOrigin","admits the deployment host when Origin matches the request Host","passed","1ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.apiCorsAllowsOriginPatterns","applies the configured origin patterns on /api/**","passed","2ms",,,,,"CorsConfig",,"Security","CORS",
"tests.testinfra.LocalChromePinTest.applyRejectsBlankBrowserVersion","apply refuses to fall back to system Chrome","passed","1ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"tests.testinfra.LocalChromePinTest.applyRejectsForeignMajor","apply rejects a browserVersion from another major","passed","1ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"frontend-typescript-react:src/test/lib/stack-matrix.test.ts#stack-matrix selection builds a board href that stays on /stack/","builds a board href that stays on /stack/","passed","1ms",,,"expect(""/stack/?backend=backend-python-flask&frontend=frontend-javascript-vue"").toBe(""/stack/?backend=backend-python-flask&frontend=frontend-javascript-vue"") passed (0s)","stack-matrix selection","stack-matrix selection",,"autotests-ai-multistack-app,autotests-ai-multistack-app","stack-matrix selection",
"frontend-typescript-react:src/test/header-active-nav.test.ts#canonical header.js — mobile burger menu builds menu with nav, search, and github links","builds menu with nav, search, and github links","passed","38ms",,,"expect(6).toBe(6) passed (0s)
 expect(6).toBe(6) passed (0s)
  expect({}).not.toBeNull() passed (0s)
   expect([""header-menu-nav-home"",""header-menu-nav-login"",""header-menu-nav-register"",""header-menu-nav-stack"",""header-menu-nav-stage"",""header-menu-nav-prod""]).toEqual([""header-menu-nav-home"",""header-menu-nav-login"",""header-menu-nav-register"",""header-menu-nav-stack"",""header-menu-nav-stage"",""header-menu-nav-prod""]) passed (0s)
    expect({}).not.toBeNull() passed (0s)
     expect({}).not.toBeNull() passed (1ms)
      expect({}).not.toBeNull() passed (0s)","canonical header.js — mobile burger menu","canonical header.js — mobile burger menu",,"autotests-ai-multistack-app,autotests-ai-multistack-app","canonical header.js — mobile burger menu",
"frontend-typescript-react:src/test/pages/HomePage.test.tsx#HomePage cancelling the confirm keeps the session and sends no delete request","cancelling the confirm keeps the session and sends no delete request","passed","28ms",,,"expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":""[Object]"",""sibling"":null,""... <truncated>).toBeInTheDocument() passed (0s)
 expect([Function bound ]).toHaveBeenCalledOnce() passed (0s)
  expect([]).toHaveLength(0) passed (0s)
   expect(null).not.toBeInTheDocument() passed (0s)
    expect(""valid-token"").toBe(""valid-token"") passed (0s)","HomePage","HomePage",,"autotests-ai-multistack-app,autotests-ai-multistack-app","HomePage",
"frontend-typescript-react:src/test/pages/HomePage.test.tsx#HomePage clears invalid session and keeps welcome hidden","clears invalid session and keeps welcome hidden","passed","36ms",,,"expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":""[Object]"",""sibling"":null,""... <truncated>).toBeInTheDocument() passed (0s)
 expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":""[Object]"",""sibling"":null,""... <truncated>).not.toBeVisible() passed (9ms)
  expect(null).toBeNull() passed (0s)","HomePage","HomePage",,"autotests-ai-multistack-app,autotests-ai-multistack-app","HomePage",
"frontend-typescript-react:src/test/pages/HomePage.test.tsx#HomePage clears the session when the delete call is rejected","clears the session when the delete call is rejected","passed","33ms",,,"expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":""[Object]"",""sibling"":null,""... <truncated>).toBeInTheDocument() passed (0s)
 expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":null,""sibling"":null,""index""... <truncated>).toBeInTheDocument() passed (0s)
  expect(null).toBeNull() passed (0s)","HomePage","HomePage",,"autotests-ai-multistack-app,autotests-ai-multistack-app","HomePage",
"frontend-typescript-react:src/test/lib/auth.test.ts#deleteAccount clears the stored token when the API rejects the call","clears the stored token when the API rejects the call","passed","0s",,,"expect(null).toBeNull() passed (0s)","deleteAccount","deleteAccount",,"autotests-ai-multistack-app,autotests-ai-multistack-app","deleteAccount",
"frontend-typescript-react:src/test/lib/auth.test.ts#deleteAccount clears the stored token when the network call fails","clears the stored token when the network call fails","passed","1ms",,,"expect(null).toBeNull() passed (0s)
 expect(null).toBeNull() passed (0s)","deleteAccount","deleteAccount",,"autotests-ai-multistack-app,autotests-ai-multistack-app","deleteAccount",
"frontend-typescript-react:src/test/header-active-nav.test.ts#canonical header.js — mobile burger menu closes menu when a menu nav link is clicked","closes menu when a menu nav link is clicked","passed","49ms",,,"expect(6).toBe(6) passed (0s)
 expect(6).toBe(6) passed (0s)
  expect(false).toBe(false) passed (0s)
   expect(true).toBe(true) passed (0s)","canonical header.js — mobile burger menu","canonical header.js — mobile burger menu",,"autotests-ai-multistack-app,autotests-ai-multistack-app","canonical header.js — mobile burger menu",
"tests.testinfra.LocalChromePinTest.configuredBrowserVersionMatchesPin","configured browserVersion stays on the pinned major","passed","1ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"dev.multistack.app.config.SecurityChainTest.corsPreflightAllowsConfiguredOrigin","CORS preflight for /api/items answers the configured dev origin","passed","16ms",,,,,"Security chain with real JWT filter,slice",,"Security","Security chain",
"dev.multistack.app.config.CorsConfigTest.corsForRequestIgnoresForeignOrigin","corsForRequest does not admit a foreign origin from another host","passed","1ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.corsForRequestSkipsNonApiPaths","corsForRequest ignores non-API paths and null requests","passed","2ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.UserSeederTest.createsSeedUserWhenMissing","creates seed user when missing","passed","232ms",,,,,"UserSeeder",,"Authentication","User seeder",
"dev.multistack.app.service.JwtServiceTest.tokenRoundtrip","createToken and extractUsername roundtrip","passed","3ms",,,,,"JwtService",,"Authentication","JWT",
"tests.testinfra.TokensCssTest.defaultTokensPathResolvesExistingFile","defaultTokensPath resolves an existing tokens.css","passed","0s",,,,,"TokensCss",,"Test harness","Tokens CSS",
"tests.api.AuthApiTests.deleteRemovesAccount","DELETE /api/auth/me removes the account: repeated login is rejected","passed","187ms",,,"API: register user user_f7e6864c passed (113ms)
 API: delete current account passed (40ms)",,"Auth API",,"Authentication","Authentication",
"dev.multistack.app.controller.AuthControllerTest.deleteAccountReturnsNoContent","DELETE /api/auth/me removes the authenticated account with 204","passed","14ms",,,,,"AuthController,slice",,"Authentication","AuthController",
"dev.multistack.app.controller.AuthControllerTest.deleteAccountRequiresAuthentication","DELETE /api/auth/me without token returns 401","passed","5ms",,,,,"AuthController,slice",,"Authentication","AuthController",
"dev.multistack.app.service.AuthServiceTest.deleteAccountUnknownUser","deleteAccount rejects a user that no longer exists","passed","2ms",,,,,"AuthService",,"Authentication","AuthService",
"dev.multistack.app.service.AuthServiceTest.deleteAccountRemovesUser","deleteAccount removes the authenticated user","passed","1ms",,,,,"AuthService",,"Authentication","AuthService",
"frontend-typescript-react:src/test/pages/HomePage.test.tsx#HomePage deletes the account, clears the session and navigates to login","deletes the account, clears the session and navigates to login","passed","35ms",,,"expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":""[Object]"",""sibling"":null,""... <truncated>).toBeInTheDocument() passed (0s)
 expect([Function bound ]).toHaveBeenCalledWith(""Delete this account? This cannot be undone."") passed (1ms)
  expect([[""/api/auth/me"",""[Object]""]]).toHaveLength(1) passed (0s)
   expect({""method"":""DELETE"",""headers"":{""Authorization"":""Bearer valid-token""}}).toMatchObject({""method"":""DELETE"",""headers"":{""Authorization"":""Bearer valid-token""}}) passed (1ms)
    expect({""__reactFiber$gf8biuzrl4"":{""tag"":5,""key"":null,""elementType"":""div"",""type"":""div"",""stateNode"":""[Circular]"",""return"":""[Object]"",""child"":null,""sibling"":null,""index""... <truncated>).toBeInTheDocument() passed (0s)
     expect(null).toBeNull() passed (0s)","HomePage","HomePage",,"autotests-ai-multistack-app,autotests-ai-multistack-app","HomePage",
"frontend-typescript-react:src/test/header-active-nav.test.ts#env-hosts — matrix public_host derives Stage/Prod origins from public_host","derives Stage/Prod origins from public_host","passed","1ms",,,"expect(""https://autotests.ai"").toBe(""https://autotests.ai"") passed (0s)
 expect(""https://stage.autotests.ai"").toBe(""https://stage.autotests.ai"") passed (1ms)
  expect([""header-nav-stage"",""header-nav-prod""]).toEqual([""header-nav-stage"",""header-nav-prod""]) passed (0s)","env-hosts — matrix public_host","env-hosts — matrix public_host",,"autotests-ai-multistack-app,autotests-ai-multistack-app","env-hosts — matrix public_host",
